"a","s","l"
"ChirOrganiMov","Chir. Organi. Mov.","Chirurgia Degli Organi di Movimento"
"ChirPatolSper","Chir. Patol. Sper.","Chirurgia e Patologia Sperimentale"
"ChirItal","Chir. Ital.","Chirurgia Italiana"
"ChirMaxillofacPlast","Chir. Maxillofac. Plast.","Chirurgia Maxillofacialis et Plastica"
"Chirurgie","Chirurgie","Chirurgie"
"ChirGastroenterol","Chir. Gastroenterol.","Chirurgische Gastroenterologie"
"Chromosoma","Chromosoma","Chromosoma"
"ChromosomeRes","Chromosome Res.","Chromosome Research"
"ChronicDisCan","Chronic Dis. Can.","Chronic Diseases in Canada"
"Chronobiologia","Chronobiologia","Chronobiologia"
"ChronobiolInt","Chronobiol. Int.","Chronobiology International"
"ChungHsiIChiehHoTsaChih","Chung Hsi I Chieh Ho Tsa Chih","Chung Hsi I Chieh Ho Tsa Chih [Chinese Journal of Modern Developments in Traditional Medicine"
"ChungHuaErhPiYenHouKoTsaChih","Chung Hua Erh Pi Yen Hou Ko Tsa Chih","Chung Hua Erh Pi Yen Hou Ko Tsa Chih [Chinese Journal of Otorhinolaryngology] (B"
"ChungHuaFuChanKoTsaChih","Chung Hua Fu Chan Ko Tsa Chih","Chung Hua Fu Chan Ko Tsa Chih [Chinese Journal of Obstetrics and Gynecology]"
"ChungHuaHsinHsuehKuanPingTsaChih","Chung Hua Hsin Hsueh Kuan Ping Tsa Chih","Chung Hua Hsin Hsueh Kuan Ping Tsa Chih [Chinese Journal of Cardiology]"
"ChungHuaHuLiTsaChih","Chung Hua Hu Li Tsa Chih","Chung Hua Hu Li Tsa Chih [Chinese Journal of Nursing]"
"ChungHuaIHsuehTsaChih","Chung Hua I Hsueh Tsa Chih","Chung Hua I Hsueh Tsa Chih [Chinese Medical Journal]"
"ChungKuoChiShengChungHsuehYuChiShengChungPingTsaChih","Chung Kuo Chi Sheng Chung Hsueh Yu Chi Sheng Chung Ping Tsa Chih","Chung Kuo Chi Sheng Chung Hsueh Yu Chi Sheng Chung Ping Tsa Chih"
"ChungHuaChengHsingShaoShnagWaiKoTsaChih","Chung Hua Cheng Hsing Shao Shnag Wai Ko Tsa Chih","Chung-Hua Cheng Hsing Shao Shang Wai Ko Tsa Chih [Chinese Journal of Plastic Surgery and Burns"
"ChungHuaChiehHoHoHuHsiTsaChih","Chung Hua Chieh Ho Ho Hu Hsi Tsa Chih","Chung-Hua Chieh Ho Ho Hu Hsi Tsa Chih [Chinese Journal of Tuberculosis and Respiratory Diseases"
"ChungHuaChungLiuTsaChih","Chung Hua Chung Liu Tsa Chih","Chung-Hua Chung Liu Tsa Chih [Chinese Journal of Oncology]"
"ChungHuaIHsuehTsaChih","Chung Hua I Hsueh Tsa Chih","Chung-Hua I Hsueh Tsa Chih [Chinese Medical Journal]"
"ChungHuaKouChiangHsuehTsaChih","Chung Hua Kou Chiang Hsueh Tsa Chih","Chung-Hua Kou Chiang I Hsueh Tsa Chih [Chinese Journal of Stomatology]"
"ChungHuaLiuHsingPingHsuehTsaChih","Chung Hua Liu Hsing Ping Hsueh Tsa Chih","Chung-Hua Liu Hsing Ping Hsueh Tsa Chih [Chinese Journal of Epidemiology]"
"ChungHuaMinKuoWeiShengWuChiMienIHsuehTsaChih","Chung Hua Min Kuo Wei Sheng Wu Chi Mien I Hsueh Tsa Chih","Chung-Hua Min Kuo Wei Sheng Wu Chi Mien I Hsueh Tsa Chih [Chinese Journal of Microbiology and Immunology"
"ChungHuaNeiKoTsaChih","Chung Hua Nei Ko Tsa Chih","Chung-Hua Nei Ko Tsa Chih [Chinese Journal of Internal Medicine]"
"Chung-huaPingLiHsuehTsaChih","Chung-hua Ping Li Hsueh Tsa Chih","Chung-hua Ping Li Hsueh Tsa Chih [Chinese Journal of Pathology]"
"ChungHuaShenChingChingShenKoTsaChih","Chung Hua Shen Ching Ching Shen Ko Tsa Chih","Chung-Hua Shen Ching Ching Shen Ko Tsa Chih [Chinese Journal of Neurology and Psychiatry"
"ChungHuaWaiKoTsaChih","Chung Hua Wai Ko Tsa Chih","Chung-Hua Wai Ko Tsa Chih [Chinese Journal of Surgery]"
"ChungHuaYenKoTsaChih","Chung Hua Yen Ko Tsa Chih","Chung-Hua Yen Ko Tsa Chih [Chinese Journal of Ophthalmology]"
"ChungHuaYuFangIHsuehTsaChih","Chung Hua Yu Fang I Hsueh Tsa Chih","Chung-Hua Yu Fang I Hsueh Tsa Chih [Chinese Journal of Preventive Medicine]"
"ChungKuoChungYaoTsaChi","Chung Kuo Chung Yao Tsa Chi","Chung-Kuo Chung Yao Tsa Chi [China Journal of Chinese Matria Medica]"
"ChungKuoIHsuehKoHsuehYuanHsuehPao","Chung Kuo I Hsueh Ko Hsueh Yuan Hsueh Pao","Chung-Kuo I Hsueh Ko Hsueh Yuan Hsueh Pao [ACTA Academiae Medicinae Sinicae]"
"ChungKuoYaoLiHsuehPao","Chung Kuo Yao Li Hsueh Pao","Chung-Kuo Yao Li Hsueh Pao [ACTA Pharmacologica Sinica]"
"CibaFoundSymp","Ciba Found. Symp.","CIBA Foundation Symposium"
"CienciasMar","Ciencias Mar.","Ciencias Marinas"
"Circulation","Circulation","Circulation"
"CircRes","Circ. Res.","Circulation Research"
"CircShock","Circ. Shock.","Circulatory Shock"
"CirPediatr","Cir. Pediatr.","Cirugia Pediatrica"
"CLAOJ","CLAO J.","Clao Journal"
"CleftPalateCraniofacJ","Cleft Palate Craniofac. J","Cleft Palate-Craniofacial Journal"
"CleveClinJMed","Cleve Clin. J. Med.","Cleveland Clinic Journal of Medicine"
"Climacteric","Climacteric.","Climacteric"
"ClimaticChange","Climatic Change","Climatic Change"
"ClinChimActa","Clin. Chim. Acta","Clinica Chimica ACTA"
"ClinTer","Clin. Ter.","Clinica Terapeutica"
"ClinDiagnLabImmunol","Clin. Diagn. Lab. Immunol.","Clinical and Diagnostic Laboratory Immunology"
"ClinDiagnVirol","Clin. Diagn. Virol.","Clinical and Diagnostic Virology"
"ClinExpAllergy","Clin. Exp. Allergy","Clinical and Experimental Allergy"
"ClinExpBiochem","Clin. Exp. Biochem.","Clinical and Experimental Biochemistry"
"ClinExpDermatol","Clin. Exp. Dermatol.","Clinical and Experimental Dermatology"
"ClinExpHypertensA","Clin. Exp. Hypertens. [A]","Clinical and Experimental Hypertension. Part A, Theory and Practice"
"ClinExpImmunol","Clin. Exp. Immunol.","Clinical and Experimental Immunology"
"ClinExpMetastasis","Clin. Exp. Metastasis","Clinical and Experimental Metastasis"
"ClinExpNeurol","Clin. Exp. Neurol.","Clinical and Experimental Neurology"
"ClinExpObstetGynecol","Clin. Exp. Obstet. Gynecol.","Clinical and Experimental Obstetrics and Gynecology"
"ClinExpPharmacol","Clin. Exp. Pharmacol.","Clinical and Experimental Pharmacology"
"ClinExpPharmacolPhysiol","Clin. Exp. Pharmacol. Physiol.","Clinical and Experimental Pharmacology and Physiology"
"ClinExpPharmacolPhysiolSuppl","Clin. Exp. Pharmacol. Physiol. Suppl.","Clinical and Experimental Pharmacology and Physiology. Supplement"
"ClinExpRheumatol","Clin. Exp. Rheumatol.","Clinical and Experimental Rheumatology"
"ClinInvestMed","Clin. Invest. Med.","Clinical and Investigative Medicine. Medecine Clinique et Experimentale"
"ClinLabHaematol","Clin. Lab. Haematol.","Clinical and Laboratory Haematology"
"ClinBiochem","Clin. Biochem.","Clinical Biochemistry"
"ClinBreastCancer","Clin. Breast Cancer","Clinical Breast Cancer"
"ClinCancerRes","Clin. Cancer Res.","Clinical Cancer Research"
"ClinCardiol","Clin. Cardiol.","Clinical Cardiology"
"ClinChem","Clin. Chem.","Clinical Chemistry"
"ClinChemEnzymolComm","Clin. Chem. Enzymol. Comm.","Clinical Chemistry and Enzymology Communications"
"ClinChemLabMed","Clin. Chem. Lab. Med.","Clinical Chemistry and Laboratory Medicine"
"ClinDrugInvest","Clin. Drug. Invest.","Clinical Drug Investigation"
"ClinElectroencephalogr","Clin. Electroencephalogr.","Clinical Electroencephalography"
"ClinEndocrinolOxf","Clin. Endocrinol.","Clinical Endocrinology"
"ClinGenet","Clin. Genet.","Clinical Genetics"
"ClinImaging","Clin. Imaging","Clinical Imaging"
"ClinImmunolImmunopathol","Clin. Immunol. Immunopathol.","Clinical Immunology and Immunopathology"
"ClinImmunolNewsletter","Clin. Immunol. Newsletter","Clinical Immunology Newsletter"
"ClinInfectDis","Clin. Infect. Dis.","Clinical Infectious Diseases"
"ClinMicrobiolNewsletter","Clin. Microbiol. Newsletter","Clinical Microbiology Newsletter"
"ClinMicrobiolRev","Clin. Microbiol. Rev.","Clinical Microbiology Reviews"
"ClinNephrol","Clin. Nephrol.","Clinical Nephrology"
"ClinNeurolNeurosurg","Clin. Neurol. Neurosurg.","Clinical Neurology and Neurosurgery"
"ClinNeuropathol","Clin. Neuropathol.","Clinical Neuropathology"
"ClinNeuropharmacol","Clin. Neuropharmacol.","Clinical Neuropharmacology"
"ClinNeurosurg","Clin. Neurosurg.","Clinical Neurosurgery"
"ClinNuclMed","Clin. Nucl. Med.","Clinical Nuclear Medicine"
"ClinObstetGynecol","Clin. Obstet. Gynecol.","Clinical Obstetrics and Gynecology"
"ClinOralImplantsRes","Clin. Oral Implants Res.","Clinical Oral Implants Research"
"ClinOrthop","Clin. Orthop.","Clinical Orthopedics and Related Research"
"ClinOtolaryngolAlliedSci","Clin. Otolaryngol. Allied Sci.","Clinical Otolaryngology and Allied Sciences"
"ClinPediatrPhila","Clin. Pediatr.","Clinical Pediatrics"
"ClinPharmacokinet","Clin. Pharmacokinet.","Clinical Pharmacokinetics"
"ClinPharmacolTher","Clin. Pharmacol. Ther.","Clinical Pharmacology and Therapeutics"
"ClinPharm","Clin. Pharm.","Clinical Pharmacy"
"ClinPhysPhysiolMeas","Clin. Phys. Physiol. Meas.","Clinical Physics and Physiological Measurement"
"ClinPhysiol","Clin. Physiol.","Clinical Physiology"
"ClinPsycholRev","Clin. Psychol. Rev.","Clinical Psychology Review"
"ClinPsycholSciPract","Clin. Psychol. Sci. Pract.","Clinical Psychology: Science and Practice"
"ClinRadiol","Clin. Radiol.","Clinical Radiology"
"ClinRes","Clin. Res.","Clinical Research"
"ClinRevAllergy","Clin. Rev. Allergy","Clinical Reviews in Allergy"
"ClinRheumatol","Clin. Rheumatol.","Clinical Rheumatology"
"ClinSci","Clin. Sci.","Clinical Science"
"ClinSymp","Clin. Symp.","Clinical Symposia"
"ClinTher","Clin. Ther.","Clinical Therapeutics"
"ClinTranspl","Clin. Transpl.","Clinical Transplants"
"ClinChestMed","Clin. Chest Med.","Clinics in Chest Medicine"
"ClinDermatol","Clin. Dermatol.","Clinics in Dermatology"
"ClinDevMed","Clin. Dev. Med.","Clinics in Developmental Medicine"
"ClinDiagnUltrasound","Clin. Diagn. Ultrasound","Clinics in Diagnostic Ultrasound"
"ClinGeriatrMed","Clin. Geriatr. Med.","Clinics in Geriatric Medicine"
"ClinLabMed","Clin. Lab. Med.","Clinics in Laboratory Medicine"
"ClinLymphoma","Clin. Lymphoma","Clinics in Lymphoma"
"ClinPerinatol","Clin. Perinatol.","Clinics in Perinatology"
"ClinPlastSurg","Clin. Plast. Surg.","Clinics in Plastic Surgery"
"ClinPodiatrMedSurg","Clin. Podiatr. Med. Surg.","Clinics in Podiatric Medicine and Surgery"
"ClinSportsMed","Clin. Sports Med.","Clinics in Sports Medicine"
"ClioMed","Clio. Med.","Clio Medica"
"CNSDrugs","CNS Drugs","CNS Drugs"
"Cognition","Cognition","Cognition"
"CognBrainRes","Cogn. Brain Res.","Cognitive Brain Research"
"CognPsych","Cogn. Psych.","Cognitive Psychology"
"ColdSpringHarbSympQuantBiol","Cold Spring Harb. Symp. Quant. Biol.","Cold Spring Harbor Symposia on Quantitative Biology"
"CollegiumAnthropologicum","Collegium Anthropologicum","Collegium Anthropologicum"
"ColloidsSurfacesB","Colloids Surfaces B","Colloids and Surfaces B: Biointerfaces"
"ColoMed","Colo. Med.","Colorado Medicine"
"cfr","Commer. Fish. Rev.","Commercial Fisheries Review"
"CommClinCytometry","Comm. Clin. Cytometry","Communications in Clinical Cytometry"
"CommunityDentHealth","Community Dent. Health","Community Dental Health"
"CommunityDentOralEpidemiol","Community Dent. Oral Epidemiol.","Community Dentistry and Oral Epidemiology"
"CommunityEcol","Community Ecol.","Community Ecology"
"CommunityMentHealthJ","Community Ment. Health J.","Community Mental Health Journal"
"CompFunctGenomics","Comp. Funct. Genomics","Comparative and Functional Genomics"
"CompBiochemPhysiolA","Comp. Biochem. Physiol. A","Comparative Biochemistry and Physiology. A: Comparative Physiology"
"CompBiochemPhysiolB","Comp. Biochem. Physiol. B","Comparative Biochemistry and Physiology. B: Comparative Biochemistry"
"CompBiochemPhysiolC","Comp. Biochem. Physiol. C","Comparative Biochemistry and Physiology. C: Comparative Pharmacology and Toxicology"
"CompImmunolMicrobiolInfectDis","Comp. Immunol. Microbiol. Infect. Dis.","Comparative Immunology, Microbiology and Infectious Diseases"
"ComprPsychiatry","Compr. Psychiatry","Comprehensive Psychiatry"
"ComprTher","Compr. Ther.","Comprehensive Therapy"
"CRBiol","C. R. Biol.","Comptes Rendus Biologies"
"CRAcadSciIII","C. R. Acad. Sci. III","Comptes Rendus de l Academie des Sciences. Serie III, Sciences de la Vie"
"CRAssocAnat","C. R. Assoc. Anat.","Comptes Rendus de l Association des Anatomistes"
"CRSeancesAcadSciD","C. R. Seances Acad. Sci. D","Comptes Rendus des Seances de l Academie des Sciences. Serie D, Sciences Naturelles"
"CRSeancesAcadSciIII","C. R. Seances Acad. Sci. III","Comptes Rendus des Seances de l Academie des Sciences. Serie III, Sciences de la Vie"
"CRSeancesSocBiolFil","C. R. Seances Soc. Biol. Fil.","Comptes Rendus des Seances de la Societe de Biologie et de ses Filiales"
"CRSocSeancesSocBiolFil","C. R. Soc. Seances Soc. Biol. Fil.","Comptes Rendus des Seances de la Societe de Biologie et des ses Filiales"
"CRTravLabCarlsberg","C. R. Trav. Lab. Carlsberg.","Comptes Rendus des Travaux du Laboratoire Carlsberg"
"CRHebdSeancesAcadSci","C. R. Hebd. Seances Acad .Sci.","Comptes Rendus Hebdomadaires des Seances de l Academie des Sciences"
"CRAcadSciHebdSeancesAcadSciD","C. R. Acad. Sci. Hebd. Seances Acad. Sci. D","Comptes Rendus Hebdomadaires des Seances de l Academie des Sciences. D: Sciences Naturelles"
"ComputBiolChem","Comput. Biol. Chem.","Computational Biology and Chemistry"
"ComputStatistDataAnal","Comput. Statist. Data Anal.","Computational Statistics and Data Analysis"
"CABIOS","CABIOS","Computer Applications in the Biosciences"
"ComputApplBiosci","Comput. Appl. Biosci.","Computer Applications in the Biosciences"
"ComputMethodsProgramsBiomed","Comput. Methods Programs Biomed.","Computer Methods and Programs in Biomedicine"
"ComputMedImagingGraph","Comput. Med. Imaging Graph.","Computerized Medical Imaging and Graphics"
"ComputBiomedRes","Comput. Biomed. Res.","Computers and Biomedical Research"
"ComputChem","Comput. Chem.","Computers and Chemistry"
"ComputGeosci","Comput. Geosci.","Computers and Geosciences"
"ComputBiolMed","Comput. Biol. Med.","Computers in Biology and Medicine"
"ComputNurs","Comput. Nurs.","Computers in Nursing"
"ConceptsImmunopathol","Concepts Immunopathol.","Concepts in Immunopathology"
"ConnMed","Conn. Med.","Connecticut Medicine"
"ConnectTissueRes","Connect. Tissue Res.","Connective Tissue Research"
"ConsensStatement","Consens Statement","Consensus Statement"
"ConservBiol","Conserv. Biol.","Conservation Biology"
"ConservEcol","Conserv. Ecol.","Conservation Ecology"
"ConservLett","Conserv. Lett.","Conservation Letters"
"ContactDermatitis","Contact Dermatitis","Contact Dermatitis"
"ContempIssuesLinBiochem","Contemp. Issues Lin. Biochem.","Contemporary Issues in Clinical Biochemistry"
"ContempOncol","Contemp. Oncol.","Contemporary Oncology [Wspolczesna Onkologia]"
"ContempTopImmunobiol","Contemp. Top. Immunobiol.","Contemporary Topics in Immunobiology"
"ContempTopMolImmunol","Contemp. Top. Mol. Immunol.","Contemporary Topics in Molecular Immunology"
"Contraception","Contraception","Contraception"
"ContribGynecolObstet","Contrib. Gynecol. Obstet.","Contributions to Gynecology and Obstetrics"
"ContribMicrobiolImmunol","Contrib. Microbiol. Immunol.","Contributions to Microbiology and Immunology"
"ContribNephrol","Contrib. Nephrol.","Contributions to Nephrology"
"ContrZool","Contr. Zool.","Contributions to Zoology"
"ControlledClinTrials","Controlled Clin. Trials","Controlled Clinical Trials"
"CorVasa","Cor Vasa","Cor et Vasa"
"CoreJClinNeurol","Core J. Clin. Neurol.","Core Journals in Clinical Neurology"
"Cornea","Cornea","Cornea"
"CornellVet","Cornell Vet.","Cornell Veterinarian"
"Cortex","Cortex","Cortex"
"CFS","CFS","Courier Forschungsinstitut Senckenberg"
"CourForschInstSenck","Cour. Forsch. Inst. Senck.","Courier Forschungsinstitut Senckenberg"
"CretaceousRes","Cretaceous Res.","Cretaceous Research"
"Crisis","Crisis","Crisis"
"CritCare","Crit. Care","Critical Care"
"CritCareClin","Crit. Care Clin.","Critical Care Clinics"
"CritCareMed","Crit. Care Med.","Critical Care Medicine"
"CritRevBiochemMolBiol","Crit. Rev. Biochem. Mol. Biol.","Critical Reviews in Biochemistry and Molecular Biology"
"CritRevBiomedEng","Crit. Rev. Biomed. Eng.","Critical Reviews in Biomedical Engineering"
"CritRevBiotechnol","Crit. Rev. Biotechnol.","Critical Reviews in Biotechnology"
"CritRevClinLabSci","Crit. Rev. Clin. Lab. Sci.","Critical Reviews in Clinical Laboratory Sciences"
"CritRevDiagnImaging","Crit. Rev. Diagn. Imaging","Critical Reviews in Diagnostic Imaging"
"CritRevFoodSciNutr","Crit. Rev. Food Sci. Nutr.","Critical Reviews in Food Science and Nutrition"
"CritRevImmunol","Crit. Rev. Immunol.","Critical Reviews in Immunology"
"CritRevMicrobiol","Crit. Rev. Microbiol.","Critical Reviews in Microbiology"
"CritRevNeurobiol","Crit. Rev. Neurobiol.","Critical Reviews in Neurobiology"
"CritRevOncog","Crit. Rev. Oncog.","Critical Reviews in Oncogenesis"
"CritRevOncolHematol","Crit. Rev. Oncol. Hematol.","Critical Reviews in Oncology/Hematology"
"CritRevOralBiolMed","Crit. Rev. Oral. Biol. Med.","Critical Reviews in Oral Biology and Medicine"
"CritRevTherDrugCarrierSyst","Crit. Rev. Ther. Drug Carrier Syst.","Critical Reviews in Therapeutic Drug Carrier Systems"
"CritRevToxicol","Crit. Rev. Toxicol.","Critical Reviews in Toxicology"
"CropSci","Crop Sci.","Crop Science"
"Cryobiology","Cryobiology","Cryobiology"
"CryoLetters","CryoLetters","CryoLetters"
"CultMedPsychiatry","Cult. Med. Psychiatry","Culture, Medicine and Psychiatry"
"CurrAdvApplMicrobiolBiotechnol","Curr. Adv. Appl. Microbiol. Biotechnol.","Current Advances in Applied Microbiology and Biotechnology"
"CurrAdvCellDevBiol","Curr. Adv. Cell. Dev. Biol.","Current Advances in Cell & Developmental Biology"
"CurrAdvClinChem","Curr. Adv. Clin. Chem.","Current Advances in Clinical Chemistry"
"CurrAdvEndocrinolMetabolism","Curr. Adv. Endocrinol. Metabolism","Current Advances in Endocrinology & Metabolism"
"CurrAdvGenetMolBiol","Curr. Adv. Genet. Mol. Biol.","Current Advances in Genetics & Molecular Biology"
"CurrAdvImmunolInfectDis","Curr. Adv. Immunol. Infect. Dis.","Current Advances in Immunology & Infectious Diseases"
"CurrAdvNeurosci","Curr. Adv. Neurosci.","Current Advances in Neuroscience"
"CurrAdvPlantSci","Curr. Adv. Plant Sci.","Current Advances in Plant Science"
"CurrAdvProtBiochem","Curr. Adv. Prot. Biochem.","Current Advances in Protein Biochemistry"
"CurrAdvToxicol","Curr. Adv. Toxicol.","Current Advances in Toxicology"
"CurrBiol","Curr. Biol.","Current Biology"
"CurrCardiolRep","Curr. Cardiol. Rep.","Current Cardiology Reports"
"CurrClinTopInfectDis","Curr. Clin. Top. Infect. Dis.","Current Clinical Topics in Infectious Diseases"
"CurrConceptsNutr","Curr. Concepts Nutr.","Current Concepts in Nutrition"
"CurrDiagnTreat","Curr. Diagn. Treat.","Current Diagnosis and Treatment"
"CurrDrugs","Curr. Drugs","Current Drugs"
"CurrEyeRes","Curr. Eye Res.","Current Eye Research"
"CurrGenet","Curr. Genet.","Current Genetics"
"CurrGenomics","Curr. Genomics","Current Genomics"
"CurrMedResOpin","Curr. Med. Res. Opin.","Current Medical Research and Opinion"
"CurrMedChem","Curr. Med. Chem.","Current Medicinal Chemistry"
"CurrMicrobiol","Curr. Microbiol.","Current Microbiology"
"CurrOpinAllergyClinImmunol","Curr. Opin. Allergy Clin. Immunol.","Current Opinion in Allergy and Clinical Immunology"
"CurrOpinAnaesthesiol","Curr. Opin. Anaesthesiol.","Current Opinion in Anaesthesiology"
"CurrOpinBiotechnol","Curr. Opin. Biotechnol.","Current Opinion in Biotechnology"
"CurrOpinCardiol","Curr. Opin. Cardiol.","Current Opinion in Cardiology"
"CurrOpinCellBiol","Curr. Opin. Cell Biol.","Current Opinion in Cell Biology"
"CurrOpinChemBiol","Curr. Opin. Chem. Biol.","Current Opinion in Chemical Biology"
